,BDEP,TPO,HL,BHT,RPM,TOR,DEPT,WOB,Annotation
1607130775401,5053.365,25.62468761656591,524.0299864215489,28.661,0.0,0.0,5795.817,11.86,on_slips
1607130775807,5053.365,19.548730759029663,522.819986452902,28.75,0.0,0.0,5795.817,13.07,on_slips
1607130776315,5053.186,22.71879520643988,521.6019864844621,28.84,0.0,0.0,5795.817,14.29,on_slips
1607130776823,5053.186,22.190451131871512,520.9439865015121,29.011,0.0,0.0,5795.817,14.94,on_slips
1607130777332,5053.015,22.71879520643988,520.9339865017711,29.092,0.0,0.0,5795.817,14.96,on_slips
1607130777839,5052.842,24.0396553928608,521.6699864827001,29.184,0.0,0.0,5795.817,14.22,on_slips
1607130778346,5052.842,15.586150199766896,522.3079864661686,29.265,0.0,0.0,5795.817,13.58,on_slips
1607130778853,5052.679,24.0396553928608,524.0019864222744,29.347,0.0,0.0,5795.817,11.89,on_slips
1607130779361,5052.679,22.190451131871512,524.9559863975549,29.428,0.0,0.0,5795.817,10.93,on_slips
1607130779871,5052.679,24.0396553928608,526.6479863537124,29.519,0.0,0.0,5795.817,9.24,on_slips
1607130780380,5052.507,20.605418908166403,527.7199863259351,29.6,0.0,0.0,5795.817,8.17,on_slips
1607130780888,5052.507,22.71879520643988,528.1179863156224,29.682,0.0,0.0,5795.817,7.77,on_slips
1607130781400,5052.344,23.51131131829243,528.5179863052578,29.768,0.0,0.0,5795.817,7.37,on_slips
1607130781807,5052.344,23.51131131829243,528.4219863077452,29.86,0.0,0.0,5795.817,7.47,on_slips
1607130782315,5052.167,25.62468761656591,527.8579863223592,29.942,0.0,0.0,5795.817,8.03,on_slips
1607130782823,5052.167,22.71879520643988,527.4179863337604,29.942,0.0,0.0,5795.817,8.47,on_slips
1607130783331,5051.997,21.662107057303142,524.8759863996277,30.203,0.0,0.0,5795.817,11.01,on_slips
1607130783838,5051.823,26.68137576570265,524.165986418025,30.203,0.0,0.0,5795.817,11.72,on_slips
1607130784346,5051.823,16.642838348903634,522.831986452591,30.374,0.0,0.0,5795.817,13.06,on_slips
1607130784854,5051.653,21.662107057303142,522.2239864683453,30.374,0.0,0.0,5795.817,13.67,on_slips
1607130785362,5051.653,20.605418908166403,521.5679864853432,30.544,0.0,0.0,5795.817,14.32,on_slips
1607130785873,5051.653,23.51131131829243,521.2919864924949,30.544,0.0,0.0,5795.817,14.6,on_slips
1607130786382,5051.482,24.0396553928608,521.1719864956042,30.628,0.0,0.0,5795.817,14.72,on_slips
1607130786891,5051.482,25.09634354199754,521.2159864944641,30.717,0.0,0.0,5795.817,14.67,on_slips
1607130787399,5051.31,20.605418908166403,521.6099864842549,30.798,0.0,0.0,5795.817,14.28,on_slips
1607130787811,5051.31,25.62468761656591,521.8539864779326,30.887,0.0,0.0,5795.817,14.04,on_slips
1607130788319,5051.059,25.09634354199754,522.6319864577732,30.968,0.0,0.0,5795.817,13.26,on_slips
1607130788832,5051.059,25.62468761656591,523.0579864467348,31.054,0.0,0.0,5795.817,12.83,on_slips
1607130789339,5050.882,17.171182423472004,524.0979864197868,31.144,0.0,0.0,5795.817,11.79,on_slips
1607130789852,5050.882,22.190451131871512,524.5239864087486,31.232,0.0,0.0,5795.817,11.37,on_slips
1607130790360,5050.714,23.51131131829243,525.7719863764108,31.313,0.0,0.0,5795.817,10.12,on_slips
1607130790871,5050.54,24.56799946742917,526.5759863555779,31.487,0.0,0.0,5795.817,9.31,on_slips
1607130791378,5050.54,16.114494274335264,526.8039863496701,31.574,0.0,0.0,5795.817,9.09,on_slips
1607130791892,5050.367,25.09634354199754,527.1599863404455,31.66,0.0,0.0,5795.817,8.73,on_slips
1607130792400,5050.367,20.605418908166403,527.2299863386318,31.75,0.0,0.0,5795.817,8.66,on_slips
1607130792811,5050.185,25.09634354199754,527.243986338269,31.842,0.0,0.0,5795.817,8.64,on_slips
1607130793319,5050.185,19.548730759029663,527.1459863408083,31.921,0.0,0.0,5795.817,8.74,on_slips
1607130793835,5050.017,23.51131131829243,526.6379863539714,32.01,0.0,0.0,5795.817,9.25,on_slips
1607130794343,5050.017,20.077074833598036,526.2299863645434,32.01,0.0,0.0,5795.817,9.66,on_slips
1607130794853,5050.017,24.0396553928608,525.183986391647,32.182,0.0,0.0,5795.817,10.7,on_slips
1607130795361,5049.845,22.71879520643988,524.6799864047064,32.182,0.0,0.0,5795.817,11.21,on_slips
1607130795876,5049.845,25.62468761656591,523.5979864327426,32.272,0.0,0.0,5795.817,12.29,on_slips
1607130796384,5049.675,16.114494274335264,523.1039864455431,32.352,0.0,0.0,5795.817,12.79,on_slips
1607130796895,5049.494,20.605418908166403,521.9359864758078,32.533,0.0,0.0,5795.817,13.95,on_slips
1607130797403,5049.494,24.0396553928608,521.7279864811973,32.614,0.0,0.0,5795.817,14.16,on_slips
1607130797820,5049.494,16.114494274335264,521.5519864857578,32.695,0.0,0.0,5795.817,14.34,on_slips
1607130798327,5049.332,20.077074833598036,521.6559864830629,32.695,0.0,0.0,5795.817,14.23,on_slips
1607130798835,5049.159,23.51131131829243,522.6919864562185,32.867,0.0,0.0,5795.817,13.2,on_slips
1607130799361,5049.159,23.51131131829243,523.363986438806,32.954,0.0,0.0,5795.817,12.52,on_slips
1607130799868,5048.993,25.62468761656591,524.9239863983838,33.034,0.0,0.0,5795.817,10.97,on_slips
1607130800377,5048.993,24.56799946742917,525.7459863770846,33.133,0.0,0.0,5795.817,10.14,on_slips
1607130800882,5048.993,24.0396553928608,526.7919863499811,33.218,0.0,0.0,5795.817,9.1,on_slips
1607130801389,5048.809,20.605418908166403,527.2619863378026,33.311,0.0,0.0,5795.817,8.63,on_slips
1607130801898,5048.809,25.62468761656591,527.367986335056,33.4,0.0,0.0,5795.817,8.52,on_slips
1607130802305,5048.627,16.114494274335264,527.1119863416893,33.483,0.0,0.0,5795.817,8.78,on_slips
1607130802813,5048.627,20.605418908166403,526.8939863473381,33.483,0.0,0.0,5795.817,9.0,on_slips
1607130803321,5048.447,23.51131131829243,526.3019863626778,33.663,0.0,0.0,5795.817,9.59,on_slips
1607130803830,5048.447,22.71879520643988,526.12398636729,33.75,0.0,0.0,5795.817,9.77,on_slips
